OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_10,10.95890411,0.241277507,1.886792453,0.001513844,-0.617483164,-2.819918876
OTU_100,0,0,0,0,NA,NA
OTU_1000,0,0,50.94339623,0.020480255,NA,-1.688664637
OTU_1001,6.849315068,0.359945104,0,0,-0.44376373,NA
OTU_1002,0,0,22.64150943,0.007377421,NA,-2.132095423
OTU_1003,0,0,0,0,NA,NA
OTU_1004,4.109589041,1.392424014,5.660377358,0.007721529,0.143771504,-2.112296693
OTU_1005,5.479452055,0.009018195,83.01886792,0.061251766,-2.04488039,-1.212881387
OTU_1006,0,0,0,0,NA,NA
OTU_1007,60.2739726,0.132136961,28.30188679,0.005511979,-0.878975685,-2.258692446
OTU_1008,2.739726027,0.003173216,0,0,-2.498500365,NA
OTU_1009,4.109589041,0.005646364,98.11320755,0.070577524,-2.248231154,-1.151333582
OTU_101,0,0,0,0,NA,NA
OTU_1010,0,0,20.75471698,0.002893135,NA,-2.538631233
OTU_1011,0,0,96.22641509,0.053154827,NA,-1.274457288
OTU_1012,43.83561644,0.078256336,1.886792453,0.002996434,-1.106480491,-2.523395284
OTU_1013,8.219178082,0.05463118,79.24528302,0.048059516,-1.262559418,-1.318220603
OTU_1014,2.739726027,0.008566231,96.22641509,0.085827894,-2.067210244,-1.066371545
OTU_1015,35.61643836,0.207979158,1.886792453,0.00286533,-0.681980184,-2.542825353
OTU_1016,6.849315068,0.065305294,24.52830189,0.030191241,-1.18505161,-1.52011903
OTU_1017,0,0,30.18867925,0.018811845,NA,-1.725568598
OTU_1018,15.06849315,0.117713274,11.32075472,0.002812096,-0.929174562,-2.550969832
OTU_1019,0,0,83.01886792,0.034606456,NA,-1.460842878
OTU_102,65.75342466,0.222692133,50.94339623,0.005846633,-0.652295126,-2.23309418
OTU_1020,0,0,0,0,NA,NA
OTU_1022,0,0,0,0,NA,NA
OTU_1024,50.68493151,0.189233289,30.18867925,0.007173928,-0.723002462,-2.144242967
OTU_1025,0,0,1.886792453,0.002727992,NA,-2.564156908
OTU_1027,1.369863014,0.006126137,3.773584906,0.028064857,-2.212813295,-1.551837174
OTU_1028,5.479452055,0.027642598,5.660377358,0.00261627,-1.558421142,-2.582317494
OTU_1029,6.849315068,0.017796465,11.32075472,0.018385014,-1.74966625,-1.735536031
OTU_103,83.56164384,0.265627257,1.886792453,0.006745818,-0.575727362,-2.17096538
OTU_1030,20.54794521,0.146161436,33.96226415,0.012042828,-0.8351672,-1.91927152
OTU_1032,0,0,35.8490566,0.023787194,NA,-1.62365678
OTU_1033,8.219178082,0.08386333,1.886792453,0.00290778,-1.076427896,-2.536438455
OTU_1034,0,0,20.75471698,0.012959605,NA,-1.887408238
OTU_1035,1.369863014,0.002391486,100,0.069995304,-2.621332157,-1.154931095
OTU_1036,0,0,92.45283019,0.07528353,NA,-1.123300024
OTU_1038,0,0,94.33962264,0.047029181,NA,-1.32763258
OTU_104,0,0,1.886792453,0.002928,NA,-2.533428928
OTU_1040,0,0,58.49056604,0.038563638,NA,-1.413822
OTU_1041,0,0,83.01886792,0.059743154,NA,-1.223711852
OTU_1042,4.109589041,0.00635385,7.547169811,0.00282767,-2.196963065,-2.548571237
OTU_1043,16.43835616,0.09722242,3.773584906,0.005213587,-1.012233572,-2.282863417
OTU_1044,0,0,56.60377358,0.013497632,NA,-1.869742404
OTU_1045,0,0,30.18867925,0.006163844,NA,-2.210148397
OTU_1046,5.479452055,0.062179215,0,0,-1.206354767,NA
OTU_1047,0,0,32.0754717,0.008388949,NA,-2.07629244
OTU_1048,0,0,100,0.081144307,NA,-1.090741945
OTU_1049,0,0,98.11320755,0.103410106,NA,-0.985437016
OTU_105,46.57534247,0.407277096,11.32075472,0.006804563,-0.390110012,-2.167199771
OTU_1050,8.219178082,0.00562309,0,0,-2.250024978,NA
