OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_10,20,0.010541915,0,0,-1.977080504,NA
OTU_100,0,0,0,0,NA,NA
OTU_1000,3.333333333,0.001707796,81.81818182,0.026090481,-2.767564008,-1.583517911
OTU_1001,3.333333333,0.050684237,4.545454545,0.005439069,-1.295127087,-2.264475432
OTU_1002,0,0,45.45454545,0.005065603,NA,-2.295368867
OTU_1003,0,0,0,0,NA,NA
OTU_1004,0,0,40.90909091,0.019876281,NA,-1.701664865
OTU_1005,0,0,54.54545455,0.023246376,NA,-1.633644747
OTU_1006,0,0,0,0,NA,NA
OTU_1007,26.66666667,0.033226133,4.545454545,0.002200704,-1.478520196,-2.657438367
OTU_1008,43.33333333,0.040944251,0,0,-1.387807069,NA
OTU_1009,3.333333333,0.003088326,95.45454545,0.04487489,-2.510276862,-1.347996599
OTU_101,0,0,0,0,NA,NA
OTU_1010,13.33333333,0.010296471,27.27272727,0.003694054,-1.987311589,-2.432496721
OTU_1011,0,0,63.63636364,0.042019982,NA,-1.376544141
OTU_1012,70,0.156233813,36.36363636,0.013652998,-0.806224968,-1.864771973
OTU_1013,30,0.025464908,100,0.113125355,-1.594057885,-0.946440045
OTU_1014,10,0.008873318,40.90909091,0.009370003,-2.05191397,-2.02826027
OTU_1015,6.666666667,0.017874542,0,0,-1.747765089,NA
OTU_1016,3.333333333,0.004504302,4.545454545,0.00281587,-2.346372499,-2.550387399
OTU_1017,0,0,9.090909091,0.002598759,NA,-2.585234077
OTU_1018,13.33333333,0.026517124,0,0,-1.576473576,NA
OTU_1019,0,0,90.90909091,0.047461018,NA,-1.323662951
OTU_102,93.33333333,0.725790437,45.45454545,0.015252903,-0.139188758,-1.81664748
OTU_1020,0,0,0,0,NA,NA
OTU_1022,0,0,0,0,NA,NA
OTU_1024,0,0,0,0,NA,NA
OTU_1025,0,0,0,0,NA,NA
OTU_1027,0,0,0,0,NA,NA
OTU_1028,0,0,50,0.005760191,NA,-2.239563102
OTU_1029,66.66666667,0.079536746,22.72727273,0.005077904,-1.099432179,-2.29431548
OTU_103,93.33333333,0.425722954,0,0,-0.370872933,NA
OTU_1030,10,0.023662112,77.27272727,0.012340264,-1.625946488,-1.908675547
