OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_10,23.07692308,0.067973955,12.90322581,0.002049134,-1.167657463,-2.688429588
OTU_100,0,0,0,0,NA,NA
OTU_1000,0,0,0,0,NA,NA
OTU_1001,10.25641026,0.019634848,12.90322581,0.003752392,-1.706972456,-2.425691856
OTU_1002,0,0,96.77419355,0.077441314,NA,-1.111027287
OTU_1003,0,0,58.06451613,0.068016609,NA,-1.167385022
OTU_1004,23.07692308,0.118229957,58.06451613,0.005335659,-0.927272469,-2.27281192
OTU_1005,2.564102564,0.010265886,74.19354839,0.014436611,-1.988603563,-1.840534748
OTU_1006,0,0,61.29032258,0.069512585,NA,-1.157936558
OTU_1007,53.84615385,0.030079569,16.12903226,0.00251694,-1.521728391,-2.599127172
OTU_1008,58.97435897,0.153728993,3.225806452,0.001380853,-0.813244218,-2.859852552
OTU_1009,12.82051282,0.023978961,70.96774194,0.004583831,-1.620169635,-2.338771398
OTU_101,20.51282051,3.175318698,19.35483871,0.00231151,0.501787321,-2.636104317
OTU_1010,7.692307692,1.077867585,35.48387097,0.002592739,0.032565411,-2.586241261
OTU_1011,0,0,16.12903226,0.003973771,NA,-2.400797208
OTU_1012,30.76923077,0.025579045,19.35483871,0.001721477,-1.592115675,-2.764098817
OTU_1013,48.71794872,0.016164431,74.19354839,0.004731287,-1.791439583,-2.325020715
OTU_1014,2.564102564,0.003585386,32.25806452,0.002854187,-2.445464082,-2.544517546
OTU_1015,0,0,0,0,NA,NA
OTU_1016,15.38461538,0.092936631,9.677419355,0.003680679,-1.031813074,-2.434072017
OTU_1017,0,0,80.64516129,0.082340729,NA,-1.084385293
OTU_1018,20.51282051,0.145740613,0,0,-0.836419408,NA
OTU_1019,0,0,74.19354839,0.024344408,NA,-1.613600776
OTU_102,53.84615385,0.06185164,9.677419355,0.001270589,-1.208648778,-2.895995023
OTU_1020,61.53846154,0.2012745,0,0,-0.696211245,NA
OTU_1022,0,0,54.83870968,0.097431171,NA,-1.011302077
OTU_1024,48.71794872,0.075388193,6.451612903,0.001489276,-1.122696668,-2.827024809
OTU_1025,7.692307692,0.006063549,70.96774194,0.067006732,-2.217273085,-1.173881562
OTU_1027,2.564102564,0.003146039,0,0,-2.502235898,NA
OTU_1028,15.38461538,0.456957094,38.70967742,0.021859043,-0.340124576,-1.660368847
OTU_1029,82.05128205,0.122675951,29.03225806,0.003012533,-0.911240568,-2.521068123
OTU_103,82.05128205,0.146839636,54.83870968,0.002569581,-0.833156699,-2.590137628
OTU_1030,28.20512821,0.04776946,12.90322581,0.002453989,-1.320849665,-2.610127344
OTU_1032,0,0,87.09677419,0.101203754,NA,-0.994803377
OTU_1033,0,0,0,0,NA,NA
OTU_1034,0,0,16.12903226,0.007618049,NA,-2.118156227
OTU_1035,5.128205128,0.006925636,51.61290323,0.008376196,-2.159540338,-2.076953153
OTU_1036,0,0,19.35483871,0.005410932,NA,-2.266727911
OTU_1038,0,0,70.96774194,0.020765839,NA,-1.682650509
OTU_104,0,0,6.451612903,0.002249966,NA,-2.647824141
OTU_1040,0,0,87.09677419,0.025852366,NA,-1.587499702
OTU_1041,0,0,22.58064516,0.009682647,NA,-2.014005888
OTU_1042,17.94871795,0.029849933,0,0,-1.525056641,NA
OTU_1043,17.94871795,0.025958541,0,0,-1.585719721,NA
OTU_1044,2.564102564,0.028683088,93.5483871,0.070035609,-1.542374095,-1.154681089
OTU_1045,0,0,90.32258065,0.067632894,NA,-1.169842029
OTU_1046,0,0,0,0,NA,NA
OTU_1047,0,0,93.5483871,0.085109174,NA,-1.070023622
OTU_1048,5.128205128,0.066770451,67.74193548,0.010499032,-1.175415694,-1.978850721
OTU_1049,0,0,67.74193548,0.007032903,NA,-2.152865375
OTU_105,58.97435897,0.165733237,9.677419355,0.00244674,-0.780590388,-2.611412178
OTU_1050,25.64102564,0.288549966,9.677419355,0.006839253,-0.539778972,-2.164991309
OTU_1051,17.94871795,0.620062832,0,0,-0.207564301,NA
OTU_1053,28.20512821,0.018757261,3.225806452,0.002063089,-1.72683057,-2.685482037
OTU_1054,25.64102564,0.023927011,41.93548387,0.002674901,-1.621111554,-2.572692274
OTU_1055,0,0,100,0.223509014,NA,-0.650704957
OTU_1056,10.25641026,0.004991005,64.51612903,0.004950823,-2.301811995,-2.305322635
OTU_1057,0,0,77.41935484,0.010697971,NA,-1.970698585
OTU_1058,7.692307692,0.010955135,38.70967742,0.002959158,-1.960382253,-2.528831821
OTU_106,2.564102564,0.003404139,29.03225806,0.001978438,-2.467992715,-2.703677604
OTU_1060,2.564102564,0.003585386,87.09677419,0.073074705,-2.445464082,-1.13623293
OTU_1061,2.564102564,0.020173492,83.87096774,0.06039344,-1.69521892,-1.21901023
OTU_1062,2.564102564,0.005246039,48.38709677,0.043818106,-2.280168485,-1.358346396
