KEGGID,Description,GeneRatio,BgRatio,pvalue,padj,geneID,geneName,keggID,Count,Label,#-Log10(Pvalue),GeneRatio2
bmor00190,Oxidative phosphorylation,50/325,147/4087,1.8025761848468e-20,1.78455042299833e-18,25768276/25768269/25768289/25768293/25768265/25768290/25768280/25768292/25768283/25768264/118281994/118274545/25768271/118272999/118269435/118268969/25768279/118273680/118277136/118282227/118264076/118263952/118277424/118262902/118262608/118266017/118268245/118271715/118276274/118266694/118278790/118275046/118281810/118279291/118277210/118263315/118272009/118280021/118272008/118270116/118277365/118265206/118275838/118276302/118280109/118272908/118281783/118280042/118276208/118265939,ND2/ND4L/ND5/ND1/COX3/ND4/COX2/ND6/ND3/ATP6/LOC118281994/LOC118274545/CYTB/LOC118272999/LOC118269435/LOC118268969/COX1/LOC118273680/LOC118277136/LOC118282227/LOC118264076/LOC118263952/LOC118277424/LOC118262902/LOC118262608/LOC118266017/LOC118268245/LOC118271715/LOC118276274/LOC118266694/LOC118278790/LOC118275046/LOC118281810/LOC118279291/LOC118277210/LOC118263315/LOC118272009/LOC118280021/LOC118272008/LOC118270116/LOC118277365/LOC118265206/LOC118275838/LOC118276302/LOC118280109/LOC118272908/LOC118281783/LOC118280042/LOC118276208/LOC118265939,bmor:809265/bmor:809260/bmor:809258/bmor:809263/bmor:4266952/bmor:809259/bmor:809267/bmor:809261/bmor:809257/bmor:809269/bmor:778463/bmor:101746922/bmor:809262/bmor:100101189/bmor:732995/bmor:101738229/bmor:809266/bmor:101741774/bmor:101746562/bmor:101740954/bmor:100302108/bmor:733018/bmor:780848/bmor:101737782/bmor:693085/bmor:101743811/bmor:101740204/bmor:100174851/bmor:101742176/bmor:101739775/bmor:751613/bmor:101741816/bmor:732934/bmor:778510/bmor:101739528/bmor:101745824/bmor:101738358/bmor:101742612/bmor:101738358/bmor:101739922/bmor:101737774/bmor:100101165/bmor:778519/bmor:101746156/bmor:101739119/bmor:101745310/bmor:101744632/bmor:101742612/bmor:733114/bmor:693099,50,up,17.74847118,0.153846154
bmor03010,Ribosome,45/325,147/4087,1.87930136065964e-16,9.30254173526522e-15,118267106/118273494/118279295/118262540/118268138/118269161/118274092/118267867/118273231/118274219/118270584/118274965/118268265/118279949/118262058/118263382/118268824/118273831/118281913/118263462/118262991/118263314/118264811/118262635/118276424/118264044/118264212/118274708/118277928/118262055/118267518/118267014/118265283/118274044/118275887/118270276/118279276/118265970/118281806/118273889/118267507/118269788/118275509/118274562/118262802,LOC118267106/LOC118273494/LOC118279295/LOC118262540/LOC118268138/LOC118269161/LOC118274092/LOC118267867/LOC118273231/LOC118274219/LOC118270584/LOC118274965/LOC118268265/LOC118279949/LOC118262058/LOC118263382/LOC118268824/LOC118273831/LOC118281913/LOC118263462/LOC118262991/LOC118263314/LOC118264811/LOC118262635/LOC118276424/LOC118264044/LOC118264212/LOC118274708/LOC118277928/LOC118262055/LOC118267518/LOC118267014/LOC118265283/LOC118274044/LOC118275887/LOC118270276/LOC118279276/LOC118265970/LOC118281806/LOC118273889/LOC118267507/LOC118269788/LOC118275509/LOC118274562/LOC118262802,bmor:732857/bmor:692720/bmor:692653/bmor:100101170/bmor:778516/bmor:692703/bmor:101744664/bmor:101744946/bmor:692706/bmor:692719/bmor:100101195/bmor:692692/bmor:692701/bmor:692699/bmor:692841/bmor:101740286/bmor:101736005/bmor:692669/bmor:101739031/bmor:693068/bmor:778451/bmor:101745675/bmor:733111/bmor:101739135/bmor:100033385/bmor:693118/bmor:101739965/bmor:692692/bmor:101736455/bmor:692709/bmor:101737395/bmor:101736166/bmor:101746143/bmor:101743322/bmor:732873/bmor:101742782/bmor:101745655/bmor:101745649/bmor:101741005/bmor:733060/bmor:101735796/bmor:101736359/bmor:101746284/bmor:101746056/bmor:692722,45,up,14.03139837,0.138461538
bmor03040,Spliceosome,32/325,144/4087,4.42902538127482e-08,1.46157837582069e-06,118280594/118262509/118275330/118271869/118279590/118270397/118277308/118263059/118264177/118272571/118279365/118281759/118269410/118279090/118279080/118271109/118268362/118273201/118272814/118265374/118262159/novel.38/118264631/118267159/118278588/118272501/118280662/118264630/118274735/118273054/118273730/118262130,LOC118280594/LOC118262509/LOC118275330/LOC118271869/LOC118279590/LOC118270397/LOC118277308/LOC118263059/LOC118264177/LOC118272571/LOC118279365/LOC118281759/LOC118269410/LOC118279090/LOC118279080/LOC118271109/LOC118268362/LOC118273201/LOC118272814/LOC118265374/LOC118262159/-/LOC118264631/LOC118267159/LOC118278588/LOC118272501/LOC118280662/LOC118264630/LOC118274735/LOC118273054/LOC118273730/LOC118262130,bmor:732941/bmor:733069/bmor:101735548/bmor:732955/bmor:732980/bmor:100036587/bmor:101736232/bmor:101746718/bmor:733037/bmor:100101178/bmor:101737609/bmor:692842/bmor:100033384/bmor:732979/bmor:732979/bmor:101740857/bmor:693094/bmor:101743469/bmor:732904/bmor:101741443/bmor:101741771/bmor:732985/bmor:101738634/bmor:101745122/bmor:732940/bmor:692785/bmor:732941/bmor:101738634/bmor:101744663/bmor:778458/bmor:101740068/bmor:101743561,32,up,5.835177891,0.098461538
bmor03008,Ribosome biogenesis in eukaryotes,14/325,82/4087,0.00464568137822324,0.114980614111025,118274296/118270702/118272098/118268496/118262570/118266998/118268211/118267429/118270725/118275695/118276988/118272662/118272471/118276839,LOC118274296/LOC118270702/LOC118272098/LOC118268496/LOC118262570/LOC118266998/LOC118268211/LOC118267429/LOC118270725/LOC118275695/LOC118276988/LOC118272662/LOC118272471/LOC118276839,bmor:101737534/bmor:732976/bmor:101735934/bmor:693087/bmor:100862801/bmor:101745251/bmor:101739071/bmor:101739167/bmor:732976/bmor:100101167/bmor:101742143/bmor:101745950/bmor:101746403/bmor:101742289,14,up,0.939375376,0.043076923
bmor03420,Nucleotide excision repair,11/325,63/4087,0.00978974553826806,0.193836961657708,118263323/118273481/118276817/118267175/118270402/118268917/118269774/118276818/118280862/118263810/118268732,LOC118263323/LOC118273481/LOC118276817/LOC118267175/LOC118270402/LOC118268917/LOC118269774/LOC118276818/LOC118280862/LOC118263810/LOC118268732,bmor:692971/bmor:101736490/bmor:101741556/bmor:101743276/bmor:101735747/bmor:692484/bmor:101742226/bmor:101741556/bmor:101736457/bmor:100462719/bmor:101740659,11,up,0.712563406,0.033846154
bmor03410,Base excision repair,7/325,38/4087,0.0277885226404078,0.443565044064432,118269839/118276817/118263831/118278643/118269774/118276818/118280862,LOC118269839/LOC118276817/LOC118263831/LOC118278643/LOC118269774/LOC118276818/LOC118280862,bmor:101739679/bmor:101741556/bmor:101739740/bmor:101737342/bmor:101742226/bmor:101741556/bmor:101736457,7,up,0.353042687,0.021538462
bmor03050,Proteasome,8/325,48/4087,0.0334535185260979,0.443565044064432,118281880/118278553/118267800/118263428/118263429/118273101/118273461/118277578,LOC118281880/LOC118278553/LOC118267800/LOC118263428/LOC118263429/LOC118273101/LOC118273461/LOC118277578,bmor:101736622/bmor:732876/bmor:101737946/bmor:101737354/bmor:101737354/bmor:692896/bmor:733131/bmor:101744351,8,up,0.353042687,0.024615385
bmor03060,Protein export,7/325,40/4087,0.0358436399243985,0.443565044064432,118263256/118275835/118274165/118274697/118273204/118271587/118263816,LOC118263256/LOC118275835/LOC118274165/LOC118274697/LOC118273204/LOC118271587/LOC118263816,bmor:733141/bmor:778480/bmor:101746206/bmor:101735426/bmor:692906/bmor:101739305/bmor:778522,7,up,0.353042687,0.021538462
bmor03030,DNA replication,7/325,42/4087,0.0453087734144819,0.4983965075593,118276817/118282057/118268917/118269774/118276818/118280862/118275501,LOC118276817/LOC118282057/LOC118268917/LOC118269774/LOC118276818/LOC118280862/LOC118275501,bmor:101741556/bmor:732919/bmor:692484/bmor:101742226/bmor:101741556/bmor:101736457/bmor:101735774,7,up,0.30242501,0.021538462
bmor03020,RNA polymerase,6/325,37/4087,0.0690041139746273,0.683140728348811,118273481/118267175/118275900/118277893/118275468/118268732,LOC118273481/LOC118267175/LOC118275900/LOC118277893/LOC118275468/LOC118268732,bmor:101736490/bmor:101743276/bmor:101739534/bmor:101743929/bmor:101737098/bmor:101740659,6,up,0.165489822,0.018461538
