KEGGID,Description,GeneRatio,BgRatio,pvalue,padj,geneID,geneName,keggID,Count,Label,#-Log10(Pvalue),GeneRatio2
bmor00520,Amino sugar and nucleotide sugar metabolism,8/91,61/4116,4.72300266451698e-05,0.00410901231812977,118278006/118272518/118266424/118270638/118270446/118279297/118276964/118268890,LOC118278006/LOC118272518/LOC118266424/LOC118270638/LOC118270446/LOC118279297/LOC118276964/LOC118268890,bmor:693039/bmor:100038345/bmor:101746316/bmor:101743243/bmor:101743243/bmor:101744821/bmor:101745110/bmor:100101196,8,up,2.386262557,0.087912088
bmor00100,Steroid biosynthesis,5/91,26/4116,0.000215557199982034,0.0093767381992185,118272788/118266858/118272791/118272789/118263509,LOC118272788/LOC118266858/LOC118272791/LOC118272789/LOC118263509,bmor:101737372/bmor:101740142/bmor:101737372/bmor:101737372/bmor:101735836,5,up,2.027948209,0.054945055
bmor00531,Glycosaminoglycan degradation,4/91,20/4116,0.000826109439547256,0.0234695603824634,118279116/118272518/118269320/118268890,LOC118279116/LOC118272518/LOC118269320/LOC118268890,bmor:101735594/bmor:100038345/bmor:101736859/bmor:100101196,4,up,1.629495045,0.043956044
bmor04142,Lysosome,10/91,143/4116,0.00107906024746958,0.0234695603824634,118279116/118281994/118272518/118269320/118272788/118272791/118272789/118275433/118268890/118271092,LOC118279116/LOC118281994/LOC118272518/LOC118269320/LOC118272788/LOC118272791/LOC118272789/LOC118275433/LOC118268890/LOC118271092,bmor:101735594/bmor:778463/bmor:100038345/bmor:101736859/bmor:101737372/bmor:101737372/bmor:101737372/bmor:732993/bmor:100101196/bmor:101736031,10,up,1.629495045,0.10989011
bmor00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,3/91,13/4116,0.00254662149059684,0.044311213936385,118276512/118267042/118276463,LOC118276512/LOC118267042/LOC118276463,bmor:101741346/bmor:101740692/bmor:101741346,3,up,1.353486352,0.032967033
bmor04081,Hormone signaling,6/91,68/4116,0.00360135272934364,0.0522196145754827,118267517/118277314/118272417/118262938/118272308/118266600,LOC118267517/LOC118277314/LOC118272417/LOC118262938/LOC118272308/LOC118266600,bmor:100329154/bmor:100174926/bmor:101739984/bmor:101744252/bmor:101739984/bmor:101741402,6,up,1.282166338,0.065934066
bmor01250,Biosynthesis of nucleotide sugars,4/91,35/4116,0.00693370720995991,0.0861760753237875,118266424/118270638/118270446/118276964,LOC118266424/LOC118270638/LOC118270446/LOC118276964,bmor:101746316/bmor:101743243/bmor:101743243/bmor:101745110,4,up,1.064613289,0.043956044
bmor00600,Sphingolipid metabolism,4/91,48/4116,0.0207377952133146,0.225523522944796,118266400/118272518/118266466/118268890,LOC118266400/LOC118272518/LOC118266466/LOC118268890,bmor:101745213/bmor:100038345/bmor:101745064/bmor:100101196,4,up,0.646808153,0.043956044
bmor00430,Taurine and hypotaurine metabolism,2/91,11/4116,0.0233560753057623,0.225775394622369,118268807/118272798,LOC118268807/LOC118272798,bmor:101738819/bmor:101739336,2,up,0.64632339,0.021978022
bmor00340,Histidine metabolism,2/91,12/4116,0.0276291663923948,0.234984764378323,118279719/118279779,LOC118279719/LOC118279779,bmor:101744680/bmor:101744680,2,up,0.628960295,0.021978022
