"body_length","richness","simpson","shannon","phyllosphere_prop","soil_prop","unknown_prop","individual_id","insect_species","insect_family","plant_family","simpson_adj","soil_prop_adj","phyllosphere_prop_adj","unknown_prop_adj"
66.88071963,52,0.023,0.0855,0.002364718,0.087015797,0.910619485,"L_BJDLS190908_086","Phalera_flavescens","Notodontidae","Rosaceae",0.023,0.087015797,0.002364718,0.910619485
54.28774479,68,0.041,0.164,0.00804218,0.001862381,0.99009544,"L_CMX20210729_014","Xestia_c-nigrum","Noctuidae","Cruciferae",0.041,0.001862381,0.00804218,0.99009544
69.72111554,19,0.046,0.166,0.977847165,0.005340891,0.016811944,"L_SLX20210913_004","Narosoideus_flavidorsalis","Limacodidae","Rhamnaceae",0.046,0.005340891,0.977847165,0.016811944
80.01763263,56,0.073,0.292,0.003869589,0.970975365,0.025155046,"L_SLX20210915_033","Somena_scintillans","Erebidae","Leguminosae",0.073,0.970975365,0.003869589,0.025155046
82.48546512,19,0.117,0.326,0.971591428,0.007517187,0.020891385,"L_SLX20210915_038","Acronicta_strigosa","Noctuidae","Rosaceae",0.117,0.007517187,0.971591428,0.020891385
89.64143426,13,0.129,0.326,0.973530079,0.00525932,0.021210601,"L_SLX20210915_041","Narosoideus_flavidorsalis","Limacodidae","Rosaceae",0.129,0.00525932,0.973530079,0.021210601
58.71028866,42,0.125,0.383,0.972962351,0.023207891,0.003829757,"L_SLX20210913_006","Parasa_consocia","Limacodidae","Rhamnaceae",0.125,0.023207891,0.972962351,0.003829757
46.4589497,39,0.216,0.41,0.880100057,0.013359367,0.106540576,"L_BJDLS190908_014","Phalera_alpherakyi","Notodontidae","Ulmaceae",0.216,0.013359367,0.880100057,0.106540576
71.06759318,232,0.136,0.415,0.005058167,0.053981133,0.9409607,"L_CMX20210729_011","Xestia_c-nigrum","Noctuidae","Cruciferae",0.136,0.053981133,0.005058167,0.9409607
100,26,0.127,0.435,0.958847426,0.025486479,0.015666095,"L_SLX20210915_025","Somena_scintillans","Erebidae","Ulmaceae",0.127,0.025486479,0.958847426,0.015666095
35.30092593,112,0.107,0.443,0.002341588,0.958669481,0.038988931,"L_SLX20210915_017","Calliteara_pudibunda","Erebidae","Salicaceae",0.107,0.958669481,0.002341588,0.038988931
14.25307906,19,0.15,0.458,0.344886077,0.388791951,0.266321973,"L_ZDXG190726_008","Lebeda_nobilis","Lasiocampidae","Juglandaceae",0.15,0.388791951,0.344886077,0.266321973
100,12,0.273,0.459,0.838474763,0.000234486,0.161290751,"L_SLX20210913_019","Helicoverpa_armigera","Noctuidae","Malvaceae",0.273,0.000234486,0.838474763,0.161290751
63.2474701,58,0.161,0.497,0.06726647,0.009734249,0.922999281,"L_SLX20210916_039","Somena_scintillans","Erebidae","Rosaceae",0.161,0.009734249,0.06726647,0.922999281
35.88418635,82,0.144,0.501,0.038003292,0.910195263,0.051801445,"L_SLX20210914_038","Helicoverpa_armigera","Noctuidae","Polygonaceae",0.144,0.910195263,0.038003292,0.051801445
77.6062417,7,0.22,0.503,0.945308256,0.039255815,0.01543593,"L_SLX20210915_042","Narosoideus_flavidorsalis","Limacodidae","Rosaceae",0.22,0.039255815,0.945308256,0.01543593
59.04796512,138,0.123,0.506,0.016586045,0.849674027,0.133739927,"L_SLX20210913_028","Acronicta_strigosa","Noctuidae","Rosaceae",0.123,0.849674027,0.016586045,0.133739927
75.47669492,67,0.139,0.516,0.401425434,0.23933752,0.359237046,"L_CMX20210803_016","Garaeus_AH01Ch","Geometridae","Coriariaceae",0.139,0.23933752,0.401425434,0.359237046
