LarvalNumber,Source,BodyLength_mm
1,Larva,31.72
2,Larva,29.25
3,Larva,31.97
4,Larva,32.68
5,Larva,35.05
6,Larva,35.21
7,Larva,32.26
8,Larva,35.94
9,Larva,28.32
10,Larva,32.71
11,Larva,38.3
12,Larva,28.57
13,Larva,32.48
14,Larva,36.55
15,Larva,38.28
16,Larva,32.11
17,Larva,36.29
18,Larva,38.48
19,Larva,32.38
20,Larva,34.61
21,Larva,32.08
22,Larva,33.27
23,Larva,32.55
24,Larva,29.07
25,Larva,31.04
26,Larva,38.57
27,Larva,34.58
28,Larva,31.35
29,Larva,34.82
30,Larva,35.39
31,Larva,33.67
32,Larva,31.94
33,Larva,34.78
34,Larva,34.64
35,Larva,32.98
36,Larva,29.15
37,Larva,32.93
38,Adult,17.51
39,Adult,17.06
40,Adult,17.36
41,Adult,18.96
42,Adult,16.36
43,Adult,17.17
44,Adult,17.63
45,Adult,18.19
46,Adult,17.05
47,Adult,18.82
48,Adult,15.76
49,Adult,18.69
50,Adult,18.39
51,Adult,16.7
52,Adult,17.19
53,Adult,16.86
54,Adult,18.38
55,Adult,16.96
56,Adult,18.21
57,Adult,16.33
58,Adult,17.77
59,Adult,17.03
60,Adult,17.7
61,Adult,18.36
62,Adult,16.34
63,Adult,16.08
64,Adult,16.79
65,Adult,17.43
66,Adult,17.75
67,Adult,17.89
68,Adult,17.37
69,Adult,16.17
70,Adult,17.31
71,Adult,17.73
72,Adult,18.13
73,Adult,16.86
74,Adult,17.47
75,Adult,17.78
76,Adult,17.11
77,Adult,17.48
