Insect_Species2,LarvaeLength_mm,Plant_Species2,Color
P.sinica,12.95,F.pennsylvanica,A
P.sinica,7.82,F.pennsylvanica,A
P.sinica,10.66,F.pennsylvanica,A
A.pullata,13.68,U.pumila,A
A.pullata,8.7,U.pumila,A
A.pullata,12.73,U.pumila,A
N.flavidorsalis,12.16,U.pumila,A
N.flavidorsalis,11.37,U.pumila,A
N.flavidorsalis,13.2,U.pumila,A
P.sinica,11.42,F.xanthoxyloides,A
L.flavalis,14.26,J.regia,A
L.flavalis,25.1,J.regia,A
L.flavalis,17.48,J.regia,A
L.flavalis,24.24,M.alba,A
L.flavalis,21.58,M.alba,A
L.flavalis,20.48,M.alba,A
P.flavescens,30.87,A.vulgaris,A
P.flavescens,27.01,A.vulgaris,A
P.flavescens,32.73,A.vulgaris,A
N.shinoharai,8.24,J.regia,A
N.shinoharai,11.09,J.regia,A
N.shinoharai,9.8,J.regia,A
N.shinoharai,13.18,J.regia,A
N.shinoharai,14.54,J.regia,A
A.latifasciata,23.33,E.hamiltonianus,A
A.latifasciata,22.92,E.hamiltonianus,A
A.latifasciata,20.08,E.hamiltonianus,A
A.latifasciata,20.7,E.hamiltonianus,A
A.latifasciata,24.49,E.hamiltonianus,A
H.armigera,30.74,I.purpurea,A
A.pullata,13.57,U.pumila,A
A.pullata,9.98,U.pumila,A
X.c-nigrum,30.1,B.oleracea,A
X.c-nigrum,24.3,B.oleracea,A
X.c-nigrum,25.8,B.oleracea,A
X.c-nigrum,21.6,B.oleracea,A
X.c-nigrum,16.5,B.oleracea,A
X.c-nigrum,25.1,B.oleracea,A
E.miliaris,12,C.multiflora,A
E.miliaris,10.7,C.multiflora,A
E.miliaris,10.4,C.multiflora,A
E.miliaris,12.5,C.multiflora,A
T.pseudoberyllica,12,E.umbellata,A
T.pseudoberyllica,14.3,E.umbellata,A
A.AH03Ch,20.6,E.umbellata,A
T.pseudoberyllica,13.9,E.umbellata,A
T.pseudoberyllica,13.9,E.umbellata,A
T.pseudoberyllica,13.6,E.umbellata,A
A.AH03Ch,17.4,Populus_davidiana,A
A.AH03Ch,14.9,C.willmottiae,A
A.AH03Ch,21.9,K.japonica,A
E.miliaris,16.6,E.umbellata,A
A.AH03Ch,18.2,E.umbellata,A
P.flavescens,NA,P.phaeocarpa,A
N.flavidorsalis,17.5,P.phaeocarpa,A
P.flavescens,20,P.phaeocarpa,A
P.flavescens,25.3,P.phaeocarpa,A
P.flavescens,23.4,P.phaeocarpa,A
P.sinica,17.3,Z.jujuba,A
