Species,OTU_ID,Frequency of occurrence of OTU(%),Content of OTU(%),Shape
A.latifasciata,OTU_10,100,4.971,8
A.latifasciata,OTU_12,100,52.179,8
A.latifasciata,OTU_13,100,13.875,8
A.latifasciata,OTU_15,100,4.227,8
A.latifasciata,OTU_94,100,2.82,8
A.AH03Ch,OTU_4,100,46.16,5
A.pullata,OTU_10,100,12.971,2
A.pullata,OTU_28,100,3.669,2
A.pullata,OTU_33,100,2.934,2
A.pullata,OTU_94,100,34.34,2
A.pullata,OTU_122,80,1.01,2
A.pullata,OTU_23,80,7.921,2
A.pullata,OTU_66,80,1.024,2
A.pullata,OTU_32,80,1.309,2
E.miliaris,OTU_4,100,75.52,1
E.miliaris,OTU_123,80,1.278,1
L.muscosalis,OTU_26,100,1.018,6
L.muscosalis,OTU_32,100,1.321,6
L.muscosalis,OTU_22,80,1.445,6
L.muscosalis,OTU_29,80,1.679,6
N.shinoharai,OTU_10,100,20.204,3
N.shinoharai,OTU_94,100,6.498,3
N.shinoharai,OTU_33,80,1.552,3
T.pseudoberyllica,OTU_100,100,34.148,4
T.pseudoberyllica,OTU_130,100,16.934,4
T.pseudoberyllica,OTU_27,100,1.198,4
T.pseudoberyllica,OTU_4,100,25.941,4
T.pseudoberyllica,OTU_156,80,5.283,4
A.protosema,OTU_22,100,1.124,10
A.protosema,OTU_23,100,1.299,10
A.protosema,OTU_32,100,1.216,10
A.protosema,OTU_94,100,41.741,10
A.protosema,OTU_159,83.3,3.075,10
A.protosema,OTU_52,83.3,1.055,10
L.flavalis,OTU_94,100,48.837,11
L.flavalis,OTU_32,83.3,1.459,11
L.flavalis,OTU_66,83.3,1.421,11
X.c-nigrum,OTU_102,100,3.1,9
X.c-nigrum,OTU_12,100,26.306,9
X.c-nigrum,OTU_4,100,27.898,9
X.c-nigrum,OTU_183,83.3,1.221,9
X.c-nigrum,OTU_220,83.3,1.42,9
P.flavescens,OTU_51,71.4,25.397,12
C.ochreimacula,OTU_94,100,34.223,14
C.ochreimacula,OTU_32,87.5,1.641,14
P.bicornuta,OTU_32,100,2.492,13
P.bicornuta,OTU_57,100,1.027,13
P.bicornuta,OTU_66,100,2.102,13
P.bicornuta,OTU_94,100,80.742,13
P.sinica,OTU_4,100,44.228,15
D.contracta,OTU_32,100,2.866,17
D.contracta,OTU_94,100,38.853,17
D.contracta,OTU_29,90,7.299,17
P.consocia,OTU_4,100,19.252,16
P.consocia,OTU_22,90,5.363,16
P.consocia,OTU_42,80,2.709,16
P.consocia,OTU_96,70,1.327,16
A.strigosa,OTU_22,100,4.911,18
A.strigosa,OTU_4,100,43.279,18
A.strigosa,OTU_48,90.9,1.88,18
A.strigosa,OTU_42,72.7,2.907,18
A.strigosa,OTU_52,72.7,2.014,18
A.strigosa,OTU_82,72.7,1.425,18
K.yamadai,OTU_32,100,6.655,19
K.yamadai,OTU_94,100,34.118,19
L.nobilis,OTU_94,100,22.32,21
L.nobilis,OTU_52,92.9,1.896,21
L.nobilis,OTU_22,78.6,2.237,21
L.nobilis,OTU_277,78.6,1.959,21
L.nobilis,OTU_32,78.6,2.563,21
S.scintillans,OTU_4,100,22.955,20
S.scintillans,OTU_22,71.4,2.91,20
N.flavidorsalis,OTU_4,83.3,38.126,22
H.armigera,OTU_4,80,46.321,7
H.armigera,OTU_15,80,41.938,7
