Rel.cont	Group	OTU_ID
0.194172277	Rel.cont.L	OTU_10
0.000299203	Rel.cont.L	OTU_10
0.041029836	Rel.cont.L	OTU_10
0.005200233	Rel.cont.L	OTU_10
0.007833621	Rel.cont.L	OTU_10
0.000701816	Region.P.Rel.cont	OTU_10
0.000300707	Region.P.Rel.cont	OTU_10
0.003144654	Region.P.Rel.cont	OTU_10
1.51E-05	Region.S.Rel.cont	OTU_10
0.086777236	Rel.cont.L	OTU_12
0.857045158	Rel.cont.L	OTU_12
0.76277608	Rel.cont.L	OTU_12
0.902313375	Rel.cont.L	OTU_12
2.13E-05	Rel.cont.L	OTU_12
0.000279971	Region.P.Rel.cont	OTU_12
0.000529723	Region.P.Rel.cont	OTU_12
0.542467203	Rel.cont.L	OTU_13
8.55E-05	Rel.cont.L	OTU_13
0.114866319	Rel.cont.L	OTU_13
0.014580093	Rel.cont.L	OTU_13
0.021755327	Rel.cont.L	OTU_13
2.85E-05	Region.P.Rel.cont	OTU_13
0.00087727	Region.P.Rel.cont	OTU_13
0.000111988	Region.P.Rel.cont	OTU_13
3.19E-05	Region.S.Rel.cont	OTU_13
2.23E-05	Region.S.Rel.cont	OTU_13
0.16592771	Rel.cont.L	OTU_15
6.41E-05	Rel.cont.L	OTU_15
0.034485728	Rel.cont.L	OTU_15
0.003985226	Rel.cont.L	OTU_15
0.006875705	Rel.cont.L	OTU_15
2.85E-05	Region.P.Rel.cont	OTU_15
0.000175454	Region.P.Rel.cont	OTU_15
0.000549149	Region.P.Rel.cont	OTU_15
1.41E-05	Region.S.Rel.cont	OTU_15
0.007535534	Rel.cont.L	OTU_94
0.02694963	Rel.cont.L	OTU_94
0.02398071	Rel.cont.L	OTU_94
0.0470937	Rel.cont.L	OTU_94
0.03542159	Rel.cont.L	OTU_94
0.00080943	Region.P.Rel.cont	OTU_94
0.001987018	Region.P.Rel.cont	OTU_94
0.000256049	Region.P.Rel.cont	OTU_94
0.008371405	Region.P.Rel.cont	OTU_94
0.001651864	Region.P.Rel.cont	OTU_94
0.004560093	Region.P.Rel.cont	OTU_94
0.00442425	Region.P.Rel.cont	OTU_94
0.000175454	Region.P.Rel.cont	OTU_94
0.01198987	Region.P.Rel.cont	OTU_94
0.002494077	Region.P.Rel.cont	OTU_94
0.000331153	Region.P.Rel.cont	OTU_94
0.001517451	Region.P.Rel.cont	OTU_94
0.002369841	Region.S.Rel.cont	OTU_94
0.001030094	Region.S.Rel.cont	OTU_94
0.001528256	Region.S.Rel.cont	OTU_94
0.001862028	Region.S.Rel.cont	OTU_94
0.001577465	Region.S.Rel.cont	OTU_94
0.002211842	Region.S.Rel.cont	OTU_94
0.00191522	Region.S.Rel.cont	OTU_94
0.00011062	Region.S.Rel.cont	OTU_94
5.28E-05	Region.S.Rel.cont	OTU_94
2.73E-05	Region.S.Rel.cont	OTU_94
6.87E-05	Region.S.Rel.cont	OTU_94
