Rel.cont	Group	OTU_ID
0.030243902	Rel.cont.L	OTU_32
0.034331037	Rel.cont.L	OTU_32
0.026027517	Rel.cont.L	OTU_32
0.01847515	Rel.cont.L	OTU_32
0.019508293	Rel.cont.L	OTU_32
0.027884615	Rel.cont.L	OTU_32
0.016854572	Rel.cont.L	OTU_32
0.026071389	Rel.cont.L	OTU_32
0.000518771	Region.P.Rel.cont	OTU_32
0.000188141	Region.P.Rel.cont	OTU_32
8.49E-05	Region.P.Rel.cont	OTU_32
0.000969227	Region.P.Rel.cont	OTU_32
0.006059125	Region.P.Rel.cont	OTU_32
0.001765863	Region.P.Rel.cont	OTU_32
9.79E-05	Region.P.Rel.cont	OTU_32
0.00065703	Region.P.Rel.cont	OTU_32
0.001238646	Region.P.Rel.cont	OTU_32
0.00331088	Region.P.Rel.cont	OTU_32
0.000734445	Region.P.Rel.cont	OTU_32
0.000101833	Region.P.Rel.cont	OTU_32
0.000435435	Region.P.Rel.cont	OTU_32
0.002287021	Region.P.Rel.cont	OTU_32
0.000920583	Region.S.Rel.cont	OTU_32
0.003369868	Region.S.Rel.cont	OTU_32
0.001517564	Region.S.Rel.cont	OTU_32
0.000939084	Region.S.Rel.cont	OTU_32
0.001338103	Region.S.Rel.cont	OTU_32
0.001873961	Region.S.Rel.cont	OTU_32
0.001716215	Region.S.Rel.cont	OTU_32
0.001477474	Region.S.Rel.cont	OTU_32
0.000593767	Region.S.Rel.cont	OTU_32
0.001410122	Region.S.Rel.cont	OTU_32
0.00073789	Region.S.Rel.cont	OTU_32
0.000976934	Region.S.Rel.cont	OTU_32
0.003237176	Region.S.Rel.cont	OTU_32
0.001064706	Region.S.Rel.cont	OTU_32
0.000898419	Region.S.Rel.cont	OTU_32
0.000530623	Region.S.Rel.cont	OTU_32
0.001373763	Region.S.Rel.cont	OTU_32
0.002098881	Region.S.Rel.cont	OTU_32
0.000886636	Region.S.Rel.cont	OTU_32
0.003195399	Region.S.Rel.cont	OTU_32
0.01195122	Rel.cont.L	OTU_57
0.01111561	Rel.cont.L	OTU_57
0.008675839	Rel.cont.L	OTU_57
0.01118918	Rel.cont.L	OTU_57
0.01027724	Rel.cont.L	OTU_57
0.009326923	Rel.cont.L	OTU_57
0.01081881	Rel.cont.L	OTU_57
0.008839655	Rel.cont.L	OTU_57
0.000546075	Region.P.Rel.cont	OTU_57
0.000149589	Region.P.Rel.cont	OTU_57
6.81E-05	Region.P.Rel.cont	OTU_57
7.75E-05	Region.P.Rel.cont	OTU_57
0.000149388	Region.P.Rel.cont	OTU_57
0.000125427	Region.P.Rel.cont	OTU_57
9.83E-05	Region.P.Rel.cont	OTU_57
0.000127367	Region.P.Rel.cont	OTU_57
0.000242307	Region.P.Rel.cont	OTU_57
0.004690936	Region.P.Rel.cont	OTU_57
0.00136453	Region.P.Rel.cont	OTU_57
0.000195838	Region.P.Rel.cont	OTU_57
0.000147809	Region.P.Rel.cont	OTU_57
0.003285151	Region.P.Rel.cont	OTU_57
0.00206441	Region.P.Rel.cont	OTU_57
0.000342505	Region.P.Rel.cont	OTU_57
