Rel.cont	Group	OTU_ID
0.305970451	Rel.cont.L	OTU_4
0.10729583	Rel.cont.L	OTU_4
0.663467307	Rel.cont.L	OTU_4
0.045027408	Rel.cont.L	OTU_4
0.007194245	Rel.cont.L	OTU_4
0.544943311	Rel.cont.L	OTU_4
0.000405387	Region.P.Rel.cont	OTU_4
0.001678108	Region.P.Rel.cont	OTU_4
0.000417014	Region.P.Rel.cont	OTU_4
0.001723148	Region.S.Rel.cont	OTU_4
0.001327199	Region.S.Rel.cont	OTU_4
0.000630104	Region.S.Rel.cont	OTU_4
0.000870251	Region.S.Rel.cont	OTU_4
0.000516381	Region.S.Rel.cont	OTU_4
0.000701919	Region.S.Rel.cont	OTU_4
0.000807841	Region.S.Rel.cont	OTU_4
0.000595133	Region.S.Rel.cont	OTU_4
0.350819672	Rel.cont.L	OTU_12
0.293929999	Rel.cont.L	OTU_12
0.00419916	Rel.cont.L	OTU_12
0.928465153	Rel.cont.L	OTU_12
0.000763991	Rel.cont.L	OTU_12
0.000181406	Rel.cont.L	OTU_12
0.008641975	Rel.cont.L	OTU_102
0.173013853	Rel.cont.L	OTU_102
0.00269946	Rel.cont.L	OTU_102
1.96E-05	Rel.cont.L	OTU_102
0.001527981	Rel.cont.L	OTU_102
9.07E-05	Rel.cont.L	OTU_102
0.012771392	Region.P.Rel.cont	OTU_102
0.04770318	Region.P.Rel.cont	OTU_102
0.004608295	Region.P.Rel.cont	OTU_102
0.012747174	Region.P.Rel.cont	OTU_102
0.002339681	Region.P.Rel.cont	OTU_102
0.002565747	Region.P.Rel.cont	OTU_102
0.002440885	Region.P.Rel.cont	OTU_102
0.003169027	Region.P.Rel.cont	OTU_102
0.004554865	Region.P.Rel.cont	OTU_102
0.001041124	Region.P.Rel.cont	OTU_102
0.001668057	Region.P.Rel.cont	OTU_102
9.57E-05	Region.S.Rel.cont	OTU_102
0.000326344	Region.S.Rel.cont	OTU_102
8.08E-05	Region.S.Rel.cont	OTU_102
8.82E-05	Region.S.Rel.cont	OTU_102
0.041165756	Rel.cont.L	OTU_183
0.011021703	Rel.cont.L	OTU_183
0.00464907	Rel.cont.L	OTU_183
0.003445576	Rel.cont.L	OTU_183
0.000763991	Rel.cont.L	OTU_183
0.021711367	Region.P.Rel.cont	OTU_183
0.003533569	Region.P.Rel.cont	OTU_183
0.001536098	Region.P.Rel.cont	OTU_183
0.001576506	Region.P.Rel.cont	OTU_183
0.000610221	Region.P.Rel.cont	OTU_183
0.000382922	Region.S.Rel.cont	OTU_183
0.00017696	Region.S.Rel.cont	OTU_183
7.56E-05	Region.S.Rel.cont	OTU_183
0.000163172	Region.S.Rel.cont	OTU_183
0.000114751	Region.S.Rel.cont	OTU_183
8.08E-05	Region.S.Rel.cont	OTU_183
0.000286546	Region.S.Rel.cont	OTU_183
0.053025703	Rel.cont.L	OTU_220
0.016003871	Rel.cont.L	OTU_220
0.001724655	Rel.cont.L	OTU_220
9.79E-05	Rel.cont.L	OTU_220
0.000127332	Rel.cont.L	OTU_220
0.021711367	Region.P.Rel.cont	OTU_220
0.001766784	Region.P.Rel.cont	OTU_220
0.001536098	Region.P.Rel.cont	OTU_220
0.002432323	Region.P.Rel.cont	OTU_220
0.000382922	Region.S.Rel.cont	OTU_220
4.41E-05	Region.S.Rel.cont	OTU_220
