SampleID,Source,reads_ChloroplastExcluded,richness,shannon_e
L_BJDLS190907_001,Larva,14971,179,1.17
L_BJDLS190907_002,Larva,32249,153,1.68
L_BJDLS190907_003,Larva,32240,192,1.44
L_BJDLS190907_009,Larva,31983,169,1.01
L_BJDLS190907_029,Larva,13078,70,0.393
L_BJDLS190907_044,Larva,32289,168,1.01
L_BJDLS190907_045,Larva,34321,312,1.9
L_BJDLS190907_046,Larva,37545,165,0.98
L_BJDLS190908_002,Larva,11847,47,0.992
L_BJDLS190908_004,Larva,9303,150,1.66
L_BJDLS190908_005,Larva,39681,39,1.29
L_BJDLS190908_011,Larva,9985,174,1.68
L_BJDLS190908_013,Larva,11084,99,1.85
L_BJDLS190908_014,Larva,39217,39,0.41
L_BJDLS190908_026,Larva,11501,15,0.531
L_BJDLS190908_034,Larva,38644,688,3.02
L_BJDLS190908_038,Larva,47766,119,1.55
L_BJDLS190908_039,Larva,39965,92,1.98
L_BJDLS190908_040,Larva,48512,107,1.01
L_BJDLS190908_041,Larva,10590,120,2.01
L_BJDLS190908_042,Larva,10469,146,2.01
L_BJDLS190908_051,Larva,33555,239,1.15
L_BJDLS190908_053,Larva,24387,94,0.695
L_BJDLS190908_054,Larva,46824,256,1.93
L_BJDLS190908_058,Larva,11868,18,1.41
L_BJDLS190908_077,Larva,626,46,1.69
L_BJDLS190908_079,Larva,34340,255,1.11
L_BJDLS190908_080,Larva,1900,79,1.17
L_BJDLS190908_086,Larva,48426,52,0.0855
L_BJDLS190908_087,Larva,14747,58,0.858
L_BJDLS190908_092,Larva,12587,61,0.563
L_BJDLS190909_032,Larva,43814,158,2.13
L_BJDLS190909_034,Larva,9971,149,1.84
L_BJDLS190909_040,Larva,11417,145,1.25
L_BJDLS190909_048,Larva,41634,210,0.748
L_BJDLS190924_002,Larva,31148,261,1.25
L_BJDLS190924_004,Larva,38177,236,1.14
L_BJDLS190924_005,Larva,14603,54,2.06
L_BJDLS190924_006,Larva,19798,25,0.0173
L_BJDLS190924_009,Larva,54245,101,2.04
L_BJDLS190924_010,Larva,51916,176,2.35
L_BJDLS190924_018,Larva,54807,95,1.23
L_BJDLS190924_019,Larva,46791,225,0.891
L_BJDLS190924_021,Larva,23227,67,0.945
L_BJDLS190924_022,Larva,20576,95,0.534
L_BJDLS190924_023,Larva,46977,134,0.484
L_BJDLS190924_024,Larva,58879,161,0.52
L_BJDLS190924_028,Larva,59970,161,2.1
L_BJDLS190924_029,Larva,61713,201,1.83
L_BJDLS190924_030,Larva,10612,72,1.49
L_BJDLS190924_043,Larva,17502,55,1.17
L_BJDLS190924_044,Larva,53390,170,1.37
L_BJDLS190925_011,Larva,14175,255,2.42
L_BJDLS190925_013,Larva,11828,155,1.64
L_BJDLS190925_014,Larva,12230,78,0.323
L_BJDLS190925_017,Larva,6597,194,2.22
L_BJDLS190925_021,Larva,46216,219,1.27
L_BJDLS190925_024,Larva,34162,253,2.31
L_BJDLS190926_002,Larva,24472,61,0.187
L_BJDLS190926_014,Larva,12783,155,1.19
L_BJDLS190926_015,Larva,11551,146,1.2
L_BJDLS190926_017,Larva,28276,242,1.06
L_BJDLS190926_018,Larva,26560,204,0.94
L_BJDLS190926_019,Larva,5424,58,0.287
L_CMX20210729_001,Larva,41413,206,0.658
L_CMX20210729_004,Larva,49410,525,2.5
