Rel.cont	Group	OTU_ID
0.023106324	Rel.cont.L	OTU_32
0.012815282	Rel.cont.L	OTU_32
0.018459763	Rel.cont.L	OTU_32
0.039699571	Rel.cont.L	OTU_32
0.002538754	Rel.cont.L	OTU_32
9.47E-05	Rel.cont.L	OTU_32
0.018144998	Rel.cont.L	OTU_32
0.000518771	Region.P.Rel.cont	OTU_32
0.000188141	Region.P.Rel.cont	OTU_32
8.49E-05	Region.P.Rel.cont	OTU_32
0.000969227	Region.P.Rel.cont	OTU_32
0.006059125	Region.P.Rel.cont	OTU_32
0.001765863	Region.P.Rel.cont	OTU_32
9.79E-05	Region.P.Rel.cont	OTU_32
0.00065703	Region.P.Rel.cont	OTU_32
0.001238646	Region.P.Rel.cont	OTU_32
0.00331088	Region.P.Rel.cont	OTU_32
0.000734445	Region.P.Rel.cont	OTU_32
0.000101833	Region.P.Rel.cont	OTU_32
0.000435435	Region.P.Rel.cont	OTU_32
0.002287021	Region.P.Rel.cont	OTU_32
0.000920583	Region.S.Rel.cont	OTU_32
0.003369868	Region.S.Rel.cont	OTU_32
0.001517564	Region.S.Rel.cont	OTU_32
0.000939084	Region.S.Rel.cont	OTU_32
0.001338103	Region.S.Rel.cont	OTU_32
0.001873961	Region.S.Rel.cont	OTU_32
0.001716215	Region.S.Rel.cont	OTU_32
0.001477474	Region.S.Rel.cont	OTU_32
0.000593767	Region.S.Rel.cont	OTU_32
0.001410122	Region.S.Rel.cont	OTU_32
0.00073789	Region.S.Rel.cont	OTU_32
0.000976934	Region.S.Rel.cont	OTU_32
0.003237176	Region.S.Rel.cont	OTU_32
0.001064706	Region.S.Rel.cont	OTU_32
0.000898419	Region.S.Rel.cont	OTU_32
0.000530623	Region.S.Rel.cont	OTU_32
0.001373763	Region.S.Rel.cont	OTU_32
0.002098881	Region.S.Rel.cont	OTU_32
0.000886636	Region.S.Rel.cont	OTU_32
0.003195399	Region.S.Rel.cont	OTU_32
0.6542242	Rel.cont.L	OTU_94
0.3316614	Rel.cont.L	OTU_94
0.5269686	Rel.cont.L	OTU_94
0.4538627	Rel.cont.L	OTU_94
0.09541486	Rel.cont.L	OTU_94
0.0034644	Rel.cont.L	OTU_94
0.000574775	Rel.cont.L	OTU_94
0.6716889	Rel.cont.L	OTU_94
0.005843003	Region.P.Rel.cont	OTU_94
0.004263276	Region.P.Rel.cont	OTU_94
0.001021242	Region.P.Rel.cont	OTU_94
0.001549067	Region.P.Rel.cont	OTU_94
0.001344488	Region.P.Rel.cont	OTU_94
0.002884826	Region.P.Rel.cont	OTU_94
0.000552914	Region.P.Rel.cont	OTU_94
0.00127739	Region.P.Rel.cont	OTU_94
0.00061459	Region.P.Rel.cont	OTU_94
4.07E-05	Region.P.Rel.cont	OTU_94
0.003863463	Region.P.Rel.cont	OTU_94
0.008480737	Region.P.Rel.cont	OTU_94
0.1540679	Region.P.Rel.cont	OTU_94
0.0607216	Region.P.Rel.cont	OTU_94
0.004847001	Region.P.Rel.cont	OTU_94
0.004803784	Region.P.Rel.cont	OTU_94
0.1103811	Region.P.Rel.cont	OTU_94
0.0494082	Region.P.Rel.cont	OTU_94
0.004566731	Region.P.Rel.cont	OTU_94
0.02402686	Region.P.Rel.cont	OTU_94
0.01278004	Region.P.Rel.cont	OTU_94
0.01204703	Region.P.Rel.cont	OTU_94
8.79E-05	Region.P.Rel.cont	OTU_94
0.1669525	Region.P.Rel.cont	OTU_94
0.000337115	Region.S.Rel.cont	OTU_94
0.003974429	Region.S.Rel.cont	OTU_94
0.002338541	Region.S.Rel.cont	OTU_94
0.000354552	Region.S.Rel.cont	OTU_94
0.002211966	Region.S.Rel.cont	OTU_94
0.00338522	Region.S.Rel.cont	OTU_94
0.001370204	Region.S.Rel.cont	OTU_94
0.000582666	Region.S.Rel.cont	OTU_94
0.000193319	Region.S.Rel.cont	OTU_94
0.00034078	Region.S.Rel.cont	OTU_94
0.000438745	Region.S.Rel.cont	OTU_94
0.000289462	Region.S.Rel.cont	OTU_94
0.003674633	Region.S.Rel.cont	OTU_94
0.000456303	Region.S.Rel.cont	OTU_94
0.000342818	Region.S.Rel.cont	OTU_94
0.000418913	Region.S.Rel.cont	OTU_94
0.000347579	Region.S.Rel.cont	OTU_94
0.000378965	Region.S.Rel.cont	OTU_94
0.000224781	Region.S.Rel.cont	OTU_94
0.000782873	Region.S.Rel.cont	OTU_94
