Rel.cont	Group	OTU_ID
4.56E-05	Rel.cont.L	OTU_10
0.000342395	Rel.cont.L	OTU_10
0.998333165	Rel.cont.L	OTU_10
1.84E-05	Rel.cont.L	OTU_10
0.011460821	Rel.cont.L	OTU_10
0.000701816	Region.P.Rel.cont	OTU_10
0.000300707	Region.P.Rel.cont	OTU_10
0.003144654	Region.P.Rel.cont	OTU_10
1.51E-05	Region.S.Rel.cont	OTU_10
0.060756836	Rel.cont.L	OTU_33
0.000273916	Rel.cont.L	OTU_33
0.00010102	Rel.cont.L	OTU_33
0.000963094	Rel.cont.L	OTU_33
1.69E-05	Region.P.Rel.cont	OTU_33
0.000529872	Region.P.Rel.cont	OTU_33
0.01369863	Region.P.Rel.cont	OTU_33
0.008243792	Region.P.Rel.cont	OTU_33
0.224844988	Region.P.Rel.cont	OTU_33
0.000313506	Region.P.Rel.cont	OTU_33
0.005279532	Region.P.Rel.cont	OTU_33
0.002285144	Region.P.Rel.cont	OTU_33
0.00167404	Region.P.Rel.cont	OTU_33
0.003421353	Region.P.Rel.cont	OTU_33
0.002904379	Region.P.Rel.cont	OTU_33
0.006609303	Region.P.Rel.cont	OTU_33
0.00049673	Region.P.Rel.cont	OTU_33
0.000780292	Region.P.Rel.cont	OTU_33
5.22E-05	Region.S.Rel.cont	OTU_33
1.68E-05	Region.S.Rel.cont	OTU_33
3.19E-05	Region.S.Rel.cont	OTU_33
8.20E-05	Region.S.Rel.cont	OTU_33
7.64E-05	Region.S.Rel.cont	OTU_33
2.12E-05	Region.S.Rel.cont	OTU_33
4.39E-05	Region.S.Rel.cont	OTU_33
0.2272333	Rel.cont.L	OTU_94
0.008080531	Rel.cont.L	OTU_94
0.000252551	Rel.cont.L	OTU_94
0.01625956	Rel.cont.L	OTU_94
0.07307959	Rel.cont.L	OTU_94
0.00080943	Region.P.Rel.cont	OTU_94
0.001987018	Region.P.Rel.cont	OTU_94
0.000256049	Region.P.Rel.cont	OTU_94
0.008371405	Region.P.Rel.cont	OTU_94
0.001651864	Region.P.Rel.cont	OTU_94
0.004560093	Region.P.Rel.cont	OTU_94
0.00442425	Region.P.Rel.cont	OTU_94
0.000175454	Region.P.Rel.cont	OTU_94
0.01198987	Region.P.Rel.cont	OTU_94
0.002494077	Region.P.Rel.cont	OTU_94
0.000331153	Region.P.Rel.cont	OTU_94
0.001517451	Region.P.Rel.cont	OTU_94
0.002369841	Region.S.Rel.cont	OTU_94
0.001030094	Region.S.Rel.cont	OTU_94
0.001528256	Region.S.Rel.cont	OTU_94
0.001862028	Region.S.Rel.cont	OTU_94
0.001577465	Region.S.Rel.cont	OTU_94
0.002211842	Region.S.Rel.cont	OTU_94
0.00191522	Region.S.Rel.cont	OTU_94
0.00011062	Region.S.Rel.cont	OTU_94
5.28E-05	Region.S.Rel.cont	OTU_94
2.73E-05	Region.S.Rel.cont	OTU_94
6.87E-05	Region.S.Rel.cont	OTU_94
