Rel.cont	Group	OTU_ID
0.199841647	Rel.cont.L	OTU_4
0.408268734	Rel.cont.L	OTU_4
0.119560691	Rel.cont.L	OTU_4
0.323416507	Rel.cont.L	OTU_4
0.245946356	Rel.cont.L	OTU_4
0.000405387	Region.P.Rel.cont	OTU_4
0.001678108	Region.P.Rel.cont	OTU_4
0.000417014	Region.P.Rel.cont	OTU_4
0.001723148	Region.S.Rel.cont	OTU_4
0.001327199	Region.S.Rel.cont	OTU_4
0.000630104	Region.S.Rel.cont	OTU_4
0.000870251	Region.S.Rel.cont	OTU_4
0.000516381	Region.S.Rel.cont	OTU_4
0.000701919	Region.S.Rel.cont	OTU_4
0.000807841	Region.S.Rel.cont	OTU_4
0.000595133	Region.S.Rel.cont	OTU_4
0.005384006	Rel.cont.L	OTU_27
0.026427061	Rel.cont.L	OTU_27
0.002446388	Rel.cont.L	OTU_27
0.023832374	Rel.cont.L	OTU_27
0.001818457	Rel.cont.L	OTU_27
0.38697318	Region.P.Rel.cont	OTU_27
0.413427562	Region.P.Rel.cont	OTU_27
0.001536098	Region.P.Rel.cont	OTU_27
0.149452727	Region.P.Rel.cont	OTU_27
0.01909316	Region.P.Rel.cont	OTU_27
0.059653624	Region.P.Rel.cont	OTU_27
0.015713196	Region.P.Rel.cont	OTU_27
0.031654051	Region.P.Rel.cont	OTU_27
0.126708075	Region.P.Rel.cont	OTU_27
0.070275898	Region.P.Rel.cont	OTU_27
0.115512927	Region.P.Rel.cont	OTU_27
9.57E-05	Region.S.Rel.cont	OTU_27
5.04E-05	Region.S.Rel.cont	OTU_27
0.000217563	Region.S.Rel.cont	OTU_27
0.000114751	Region.S.Rel.cont	OTU_27
0.00011021	Region.S.Rel.cont	OTU_27
0.388281869	Rel.cont.L	OTU_100
0.033709185	Rel.cont.L	OTU_100
0.617010202	Rel.cont.L	OTU_100
0.085732566	Rel.cont.L	OTU_100
0.58266404	Rel.cont.L	OTU_100
0.14378464	Rel.cont.L	OTU_130
0.335330045	Rel.cont.L	OTU_130
0.157349573	Rel.cont.L	OTU_130
0.087492003	Rel.cont.L	OTU_130
0.122745871	Rel.cont.L	OTU_130
0.019499679	Region.P.Rel.cont	OTU_130
0.000152555	Region.P.Rel.cont	OTU_130
0.180205859	Rel.cont.L	OTU_156
0.000234907	Rel.cont.L	OTU_156
0.030553821	Rel.cont.L	OTU_156
0.000319898	Rel.cont.L	OTU_156
